action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost,trade_status,trade_seq,entry_date,exit_date,entry_option_price,exit_option_price,entry_stock_price,exit_stock_price
round_trip,2010-01-14,INTC,2010-01-13,1.035,21.48,-0.59996,0.59996,-1,-38,2279.848,38,21.0,2010-02-20,37.0,3971.000000000001,29.0,-0.004077688,-1.0,50000.0,1288.71408,hpr_limit_exit,3.0,3.0,1079.841526070001,96.87399793,closed,0,2010-01-14,2010-01-19,1.035,0.505,21.48,21.05
round_trip,2010-01-27,ABT,2010-01-26,0.95,53.9,0.392455,0.392455,1,7,-274.7185,7,55.0,2010-03-20,52.0,672.0,5.0,0.0023067072,1.0,50044.08874283575,2115.33245,hpr_limit_exit,3.0,3.0,912.7477897860005,42.25896221399999,closed,0,2010-01-27,2010-01-29,0.95,1.775,53.9,52.94
round_trip,2010-02-02,BP,2010-02-01,1.69,55.46,-0.530462,0.530462,-1,-14,742.6468,14,55.0,2010-03-20,46.0,2380.0,25.0,-0.0032115094,-1.0,50086.28062446206,2941.942252,stop_loss,3.0,3.0,-11.019996092001826,54.369512092,closed,0,2010-02-02,2010-02-04,1.69,0.99,55.46,53.48
round_trip,2010-02-08,CVS,2010-02-05,1.09,32.72,0.483284,0.483284,1,23,-1111.5532,23,33.0,2010-03-20,40.0,2530.0000000000005,3.0,0.003565371,1.0,50065.28448835286,1581.305248,stop_loss,3.0,3.0,-350.13699305199805,86.115945052,closed,0,2010-02-08,2010-02-10,1.09,0.98,32.72,32.73
round_trip,2010-02-16,MRK,2010-02-12,0.89,37.66,-0.457966,0.457966,-1,-29,1328.1014,29,38.0,2010-03-20,32.0,2610.0,27.0,-0.0036338698,-1.0,50052.075282599486,1724.6999559999997,hpr_limit_exit,3.0,3.0,-105.628149362,105.628149362,closed,0,2010-02-16,2010-02-18,0.89,0.89,37.66,37.66
round_trip,2010-04-13,INTC,2010-04-12,0.625,22.7699,0.456122,0.456122,1,48,-2189.3856,48,23.0,2010-05-22,39.0,3048.0,5.0,0.005274497,1.0,50052.075282599486,1038.58523278,stop_loss,2.0,2.0,-2676.8333871359996,103.813541376,closed,1,2010-04-13,2010-04-14,0.625,0.365,22.7699,23.52
round_trip,2010-04-19,IBM,2010-04-16,4.15,132.23,-0.618491,0.618491,-1,-6,371.0946,6,130.0,2010-05-22,33.0,2496.0000000000005,29.0,-0.008277543,-1.0,49907.31369400749,8178.306492999999,hpr_limit_exit,3.0,3.0,731.4918218760047,40.289330124,closed,0,2010-04-19,2010-04-21,4.15,1.535,132.23,128.99
round_trip,2010-04-23,SLB,2010-04-22,3.225,72.68,-0.526431,0.526431,-1,-13,684.3602999999999,13,72.5,2010-06-19,57.0,4205.5,26.0,-0.0051767416,-1.0,49928.55468240683,3826.100508,stop_loss,3.0,3.0,-1962.2412523805033,125.1083053805,closed,0,2010-04-23,2010-04-27,3.225,3.375,72.68,70.31
round_trip,2010-04-29,BMY,2010-04-28,1.11,25.37,0.584028,0.584028,1,33,-1927.2924,33,25.0,2010-06-19,51.0,3695.999999999999,1.0,0.027647581,0.8292864231246992,49837.99971321513,1481.679036,hpr_limit_exit,3.0,3.0,-265.82654924099586,117.161285241,closed,0,2010-04-29,2010-05-03,1.11,0.935,25.37,25.13
round_trip,2010-04-29,PG,2010-04-28,1.32,62.2,0.481347,0.481347,1,5,-240.6735,5,62.5,2010-06-19,51.0,665.0,4.0,0.005274892,0.1707135768753006,17016.046390706328,2993.97834,hpr_limit_exit,3.0,3.0,-69.66825905999919,28.15993906,closed,0,2010-04-29,2010-05-03,1.32,1.49,62.2,62.68
round_trip,2010-05-12,CSCO,2010-05-11,0.97,26.74,-0.48384,0.48384,-1,-38,1838.592,38,27.0,2010-06-19,38.0,3724.0,27.0,-0.0071045086,-1.0,49830.27586107223,1293.7881599999998,stop_loss,2.0,2.0,-1050.9503982449955,111.752468245,closed,0,2010-05-12,2010-05-13,0.97,0.695,26.74,25.53
round_trip,2010-05-18,HPQ,2010-05-17,1.51,46.79,-0.455518,0.455518,-1,-23,1047.6914,23,47.5,2010-06-19,32.0,3496.0,25.0,-0.004842408,-1.0,49771.16418714048,2131.368722,stop_loss,3.0,3.0,-2210.891053194996,141.206245195,closed,0,2010-05-18,2010-05-20,1.51,1.975,46.79,45.95
round_trip,2010-05-28,PBR,2010-05-27,2.0549999999999997,35.62,-0.505779,0.505779,-1,-13,657.5127,13,36.0,2010-07-17,50.0,2684.4999999999995,30.0,-0.008344462,-1.0,38058.17400178651,1801.584798,hpr_limit_exit,3.0,3.0,727.6296934399993,78.30301856,closed,0,2010-05-28,2010-06-02,2.0549999999999997,2.04,35.62,36.8
round_trip,2010-07-15,JPM,2010-07-14,1.89,40.46,-0.563016,0.563016,-1,-21,1182.3336,21,40.0,2010-08-21,37.0,3990.0,25.0,-0.005966354,-1.0,49712.00768905458,2277.962736,stop_loss,2.0,2.0,-1208.317423950001,111.67839795,closed,0,2010-07-15,2010-07-16,1.89,1.65,40.46,39.0
round_trip,2010-07-20,PEP,2010-07-19,0.98,64.73,0.472312,0.472312,1,16,-755.6992,16,65.0,2010-08-21,32.0,1584.0,3.0,0.0062193144,1.0,49650.81348089208,3057.2755760000005,hpr_limit_exit,3.0,3.0,-89.60429396799348,60.59552596799999,closed,0,2010-07-20,2010-07-22,0.98,0.755,64.73,64.21
round_trip,2010-07-29,AMGN,2010-07-28,2.7,53.37,0.582601,0.582601,1,8,-466.0808,8,52.5,2010-09-18,51.0,2168.0,4.0,0.0060651638,1.0,49654.57682596648,3109.341537,stop_loss,2.0,2.0,-1203.6434268320015,47.571618832,closed,0,2010-07-29,2010-07-30,2.7,1.815,53.37,54.53
round_trip,2010-08-03,PFE,2010-08-02,0.675,16.34,-0.5571,0.5571,-1,-54,3008.34,54,16.0,2010-09-18,46.0,3699.0,21.0,-0.0019326117,-1.0,49592.03533585748,910.3014,stop_loss,2.0,2.0,-943.9407332999948,176.9922333,closed,0,2010-08-03,2010-08-04,0.675,0.88,16.34,16.44
round_trip,2010-08-19,HPQ,2010-08-18,1.395,40.76,-0.490538,0.490538,-1,-24,1177.2912,24,41.0,2010-09-18,30.0,3372.0,22.0,-0.0024024472,-1.0,49551.56585193248,1999.432888,hpr_limit_exit,3.0,3.0,-114.953194656,114.953194656,closed,1,2010-08-19,2010-08-23,1.395,1.395,40.76,40.76
round_trip,2010-10-18,IBM,2010-10-15,2.615,142.83,-0.406999,0.406999,-1,-8,325.5992,8,145.0,2010-11-20,33.0,2100.0,29.0,-0.0058408156,-1.0,49551.56585193248,5813.166717,stop_loss,2.0,2.0,-668.2259599360034,54.038439936,closed,1,2010-10-18,2010-10-19,2.615,1.585,142.83,138.03
round_trip,2010-10-21,PM,2010-10-20,1.48,57.56,-0.510852,0.510852,-1,-16,817.3632,16,57.5,2010-12-18,58.0,2384.0,28.0,-0.005564183,-1.0,49514.53240448987,2940.464112,hpr_limit_exit,3.0,3.0,1743.4395851759978,76.035758824,closed,0,2010-10-21,2010-10-25,1.48,1.205,57.56,59.47
